UID,PID,Notebook,Timestamp,interaction_used,Condition,group,highlevel,Data Type,UtteranceType,Utterance,All representations,Python Used,Didn't use interaction,Insight Description,Justification,Was Interaction Used,Was Recapped,Was Vis used,Was Interaction Used_content,Was Vis used_content,Python Used_content,Other representation_content,joined,output_types,combined_content
316,3r2sh20ei,Happiness,21:48,FALSE,Static,none,VARIABLE,,"distribution range [min, max]","While I'm here I'll look at the Max, and that is 2021. Okay, so at least, that seems like what we're looking at.","max_year_3r2sh20eihappiness,",max_year_3r2sh20eihappiness,,,,,,,,,df.year.max(),,max_year_3r2sh20eihappiness,other,  df.year.max() 
317,3r2sh20ei,Happiness,21:59,FALSE,Static,Multi-view Chart,DATASET,,variable metadata,"So a lot of these that I thought were binary are not actually binary. They're on a scale of 0 to one. So now I'm going to look back... oh there must be some average on national average grade of binary responses to the gallop poll, asking if individuals have reviews or friends. Right? We don't have individual level data.","profile_dataframe_3r2sh20eihappiness, display_dataframe_3r2sh20eihappiness, data_dictionary,",display_dataframe_3r2sh20eihappiness,,,,,,profile_dataframe_3r2sh20eihappiness,,"columns = df.columns 
 alx.profile(df,vars=columns)",df,data_dictionary,"profile_dataframe_3r2sh20eihappiness, display_dataframe_3r2sh20eihappiness, data_dictionary","visualization, dataframe, data_dictionary"," columns = df.columns 
 alx.profile(df,vars=columns) df data_dictionary"
318,3r2sh20ei,Happiness,22:29,FALSE,Static,none,VARIABLE,,"distribution range [min, max]",social support: 0 to 1.,,,,,,,,,,,,,,,   
319,3r2sh20ei,Happiness,22:33,FALSE,Static,profile,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","So all of these numbers at least, seem reasonable.","profile_dataframe_3r2sh20eihappiness,",,,,,,,profile_dataframe_3r2sh20eihappiness,,"columns = df.columns 
 alx.profile(df,vars=columns)",,,profile_dataframe_3r2sh20eihappiness,visualization," columns = df.columns 
 alx.profile(df,vars=columns)  "
320,3r2sh20ei,Happiness,22:39,FALSE,Static,profile,VARIABLE,distribution  (continuous),"distribution range [min, max]","Confidence in government also, between 0 and 1.","profile_dataframe_3r2sh20eihappiness,",,,,,,,profile_dataframe_3r2sh20eihappiness,,"columns = df.columns 
 alx.profile(df,vars=columns)",,,profile_dataframe_3r2sh20eihappiness,visualization," columns = df.columns 
 alx.profile(df,vars=columns)  "
321,3r2sh20ei,Happiness,22:43,FALSE,Static,profile,VARIABLE,distribution  (continuous),"distribution range [min, max]",corruption's got this long left tail.,"profile_dataframe_3r2sh20eihappiness,",,,,,,,profile_dataframe_3r2sh20eihappiness,,"columns = df.columns 
 alx.profile(df,vars=columns)",,,profile_dataframe_3r2sh20eihappiness,visualization," columns = df.columns 
 alx.profile(df,vars=columns)  "
322,3r2sh20ei,Happiness,22:54,FALSE,Static,none,DATASET,,missing data,I would look for missing data. I don't think there's anything in the static to like. Take a look for missing information,,,,,,,,,,,,,,,   
323,3r2sh20ei,Happiness,0:23:28,FALSE,Static,dataframe,DATASET,distribution  (continuous),missing data,"I got a lot of missing data. I got a lot of missing data. I don't know why it's missing. Oh, that's an NaN.","null_rows_dataframe_3r2sh20eihappiness,",null_rows_dataframe_3r2sh20eihappiness,,"INCORRECT INFERENCE (is.null returns True for if that data is null, but she looked at an entire table of NaN's and thought that those were nulls (when they just were NOT missing data))",,,,,,,df[df.isnull()],,null_rows_dataframe_3r2sh20eihappiness,dataframe,  df[df.isnull()] 
324,3r2sh20ei,Happiness,24:56:00,FALSE,Static,dataframe,DATASET,distribution  (continuous),missing data,"So we do have some missing information. I don't know if it's missing at random. So you look, there's just some measures that didn't happen. There could be lots of reasons. Okay, so we don't have completeness yet for everything.","any_null_in_rows_3r2sh20eihappiness,",any_null_in_rows_3r2sh20eihappiness,,,,,,,,,df[df.isnull().any(axis=1)],,any_null_in_rows_3r2sh20eihappiness,dataframe,df[df.isnull().any(axis=1)]
325,3r2sh20ei,Happiness,25:10:00,FALSE,Static,data_dictionary,DATASET,,variable metadata, Now I remind myself of any of these were categorical.,"data_dictionary, ",,,,,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
326,3r2sh20ei,Happiness,25:30:00,FALSE,Static,none,DATASET,,variable metadata,"Okay, so everything else is numeric.","dataframe_dtypes_3r2sh20eihappiness,",dataframe_dtypes_3r2sh20eihappiness,,,,,,,,,df.dtypes,,dataframe_dtypes_3r2sh20eihappiness,other,  df.dtypes 
327,3r2sh20ei,Happiness,28:11:00,FALSE,Static,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"for some reason become interested in these affect things. Is the relationship between these and like- If the country's mean on positive things is higher, would they be lower on the negative signs? This seems to somewhat be the case.","jointplot_positiveAffect_negativeAffect_3r2sh20eihappiness,",,,,,,,jointplot_positiveAffect_negativeAffect_3r2sh20eihappiness,,"alx.jointplot(df,x='positiveAffect',y='negativeAffect')",,,jointplot_positiveAffect_negativeAffect_3r2sh20eihappiness,visualization," alx.jointplot(df,x='positiveAffect',y='negativeAffect')  "
328,3r2sh20ei,Happiness,28:11:00,FALSE,Static,scatterplot,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",The negative has this longer tail,"jointplot_positiveAffect_negativeAffect_3r2sh20eihappiness,",,,,,,,jointplot_positiveAffect_negativeAffect_3r2sh20eihappiness,,"alx.jointplot(df,x='positiveAffect',y='negativeAffect')",,,jointplot_positiveAffect_negativeAffect_3r2sh20eihappiness,visualization," alx.jointplot(df,x='positiveAffect',y='negativeAffect')  "
329,3r2sh20ei,Happiness,29:28:00,FALSE,Static,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"It's a relationship between happiness and life expectancy seems like the most obvious. I can do a pair plot in a second, but that's going to give me a bagillion. So I want to look at these first. ","jointplot_happinessScore_lifeExpectancy_3r2sh20eihappiness,",,,Highglighted because its unclear if jointplot was made before this was said,,,,jointplot_happinessScore_lifeExpectancy_3r2sh20eihappiness,,"alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,jointplot_happinessScore_lifeExpectancy_3r2sh20eihappiness,visualization," alx.jointplot(df,x='happinessScore',y='lifeExpectancy')  "
330,3r2sh20ei,Happiness,29:33:00,FALSE,Static,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Okay, so increased happiness generally with increased life expectancy. But we've lost the element of time and Country","jointplot_happinessScore_lifeExpectancy_3r2sh20eihappiness,",,,,,,,jointplot_happinessScore_lifeExpectancy_3r2sh20eihappiness,,"alx.jointplot(df,x='happinessScore',y='lifeExpectancy')",,,jointplot_happinessScore_lifeExpectancy_3r2sh20eihappiness,visualization," alx.jointplot(df,x='happinessScore',y='lifeExpectancy')  "
331,3r2sh20ei,Happiness,30:07:00,FALSE,Static,profile,ANALYSIS PROCESS,distribution (categorical),representation comment,It's going to give me way too many– I already saw how many unique values there were. There were a lot of countries. ,"profile_dataframe_3r2sh20eihappiness,",,,,,,,profile_dataframe_3r2sh20eihappiness,,"columns = df.columns 
 alx.profile(df,vars=columns)",,,profile_dataframe_3r2sh20eihappiness,visualization," columns = df.columns 
 alx.profile(df,vars=columns)  "
332,3r2sh20ei,Happiness,30:12:00,FALSE,Static,lineplot,ANALYSIS PROCESS,,representation comment,We'll start with it. It's going to be a bad idea. Okay. I think country is the only idnetifier. There's no cluster here. Great good spaghetti plot told me nothing.,"lineplot_year_averageHappinessScore_3r2sh20eihappiness,",,,,,,,lineplot_year_averageHappinessScore_3r2sh20eihappiness,,"alx.lineplot(df,x='year',y='average(happinessScore)', color= 'country')",,,lineplot_year_averageHappinessScore_3r2sh20eihappiness,visualization," alx.lineplot(df,x='year',y='average(happinessScore)', color= 'country')  "
333,3r2sh20ei,Happiness,30:32:00,FALSE,Static,lineplot,RELATIONSHIP,relationship (categorical X continuous),outlier (relationship),Although there is this blue one down here.,"lineplot_year_averageHappinessScore_3r2sh20eihappiness,",,,,,,,lineplot_year_averageHappinessScore_3r2sh20eihappiness,,"alx.lineplot(df,x='year',y='average(happinessScore)', color= 'country')",,,lineplot_year_averageHappinessScore_3r2sh20eihappiness,visualization," alx.lineplot(df,x='year',y='average(happinessScore)', color= 'country')  "
334,3r2sh20ei,Happiness,30:35:00,FALSE,Static,lineplot,RELATIONSHIP,relationship (categorical X continuous),outlier (relationship),Who knows which blue one that is because of my terrible decision.,"lineplot_year_averageHappinessScore_3r2sh20eihappiness,",,,,,,,lineplot_year_averageHappinessScore_3r2sh20eihappiness,,"alx.lineplot(df,x='year',y='average(happinessScore)', color= 'country')",,,lineplot_year_averageHappinessScore_3r2sh20eihappiness,visualization," alx.lineplot(df,x='year',y='average(happinessScore)', color= 'country')  "
335,3r2sh20ei,Happiness,31:14:00,FALSE,Static,pairplot,ANALYSIS PROCESS,,plan of action,"Now, I'm just looking at overall patterns and things that look weird. ","pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
336,3r2sh20ei,Happiness,31:18:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,So this jumps out to me– the relationship between GDP per capita and corruption.,"pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
337,3r2sh20ei,Happiness,31:25:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),relationship form (linearity/non-linearity),I don't know why there's that weird shape in the data. But it seems that corruption is causing problems. Kind of across the board we see weird stuff. ,"pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
338,3r2sh20ei,Happiness,31:33:00,FALSE,Static,none,ANALYSIS PROCESS,,plan of action,"So I'm going to like, look back up to corruption up here.",,,,,,,,,,,,,,,   
339,3r2sh20ei,Happiness,31:40:00,FALSE,Static,Multi-view Chart,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",It seems like there's some bimodal relationship. ,"profile_dataframe_3r2sh20eihappiness, pairplot_dataframe_3r2sh20eihappiness,",,,,,,,"profile_dataframe_3r2sh20eihappiness, pairplot_dataframe_3r2sh20eihappiness",,"columns = df.columns 
 alx.profile(df,vars=columns) alx.pairplot(df)",,,"profile_dataframe_3r2sh20eihappiness, pairplot_dataframe_3r2sh20eihappiness","visualization, visualization"," columns = df.columns 
 alx.profile(df,vars=columns) alx.pairplot(df)  "
340,3r2sh20ei,Happiness,31:46:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),outlier (relationship),There's a lot of outliers overall.,"pairplot_dataframe_3r2sh20eihappiness, ,",,,,,,,"pairplot_dataframe_3r2sh20eihappiness,",,alx.pairplot(df),,,"pairplot_dataframe_3r2sh20eihappiness,",visualization, alx.pairplot(df)  
341,3r2sh20ei,Happiness,33:25:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),relationship form (linearity/non-linearity),"I'm just looking at the overall blobs and shapes. We've got outliers, of course, because there's a lot of data here. most things are pretty blobby.","pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
342,3r2sh20ei,Happiness,33:02:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction," mean, the clear thing that stands out. Is this happiness and GDP per capita.","pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
343,3r2sh20ei,Happiness,33:14:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"But we also see happiness having some relationship with the next 2 things. social support, life expectancy.","pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
344,3r2sh20ei,Happiness,34:12:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"I'm going to go focus more on happiness, since I found the ones that are closest to what I want, like, Look at the ones that are further away to make sure it wasn't missing a ton of stuff. So there is some relationship here to positive affect","pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
345,3r2sh20ei,Happiness,34:57:00,FALSE,Static,pairplot,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","So first at the distribution of corruption on its face. I mean, it's skewed.","pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
346,3r2sh20ei,Happiness,25:03:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),relationship cluster(s)/subgroup/ unexpected,"If we look at corruption and generosity, this seems there's 2 blobs, some Bimodal of something going on. So like, I'm curious which countries or time have this split between corruption and generosity.","pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
347,3r2sh20ei,Happiness,25:17:00,FALSE,Static,pairplot,RELATIONSHIP,relationship (continuous X continuous),relationship existence / non-existence,  I'm curious if that like seeing law that starts come out in corruption if they overlap. So I'm going to go down this rabbit hole to start looking at that generosity  confidence in government.,"pairplot_dataframe_3r2sh20eihappiness,",,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),,,pairplot_dataframe_3r2sh20eihappiness,visualization, alx.pairplot(df)  
348,3r2sh20ei,Happiness,36:15:00,FALSE,Static,dataframe_pairplot,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",it seems there's some corruption below point 5 and greater than 0 point 5. So I am just curious. 239 rows.,"pairplot_dataframe_3r2sh20eihappiness, filter_corruption_3r2sh20eihappiness,",filter_corruption_3r2sh20eihappiness,,,,,,pairplot_dataframe_3r2sh20eihappiness,,alx.pairplot(df),df[df.corruption < 0.5],,"pairplot_dataframe_3r2sh20eihappiness, filter_corruption_3r2sh20eihappiness","visualization, dataframe",alx.pairplot(df) df[df.corruption < 0.5]
349,3r2sh20ei,Happiness,36:50:00,FALSE,Static,none,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","239 rows. We've got some kind of all over the world who have the lower corruption, and the greater corruption","unique_countries_low_corruption_3r2sh20eihappiness,",unique_countries_low_corruption_3r2sh20eihappiness,,,,,,,,,"sub = df[df.corruption < 0.5]
 sub.country.unique()",,unique_countries_low_corruption_3r2sh20eihappiness,other,"sub = df[df.corruption < 0.5]
 sub.country.unique()"
350,3r2sh20ei,Happiness,44:30:00,FALSE,Static,none,RELATIONSHIP,relationship (continuous X continuous),relationship cluster(s)/subgroup/ unexpected,"So we see this like purple cluster, I can't guarantee those are the same countries. There's also this other group of blue dots, kind of along the bottom.",,,,,,,,,,,,,,,   
351,7ACC0B75,Happiness,14:10,FALSE,Static,dataframe,DATASET,,variable metadata,"Country, name, Life Ladder. Not sure what that means yet. LogGDP. Social Support. Life expectancy. Freedom. ","df_head_7ACC0B75happiness,",df_head_7ACC0B75happiness,,,,,,,,,df.head(),,df_head_7ACC0B75happiness,dataframe,  df.head() 
352,7ACC0B75,Happiness,14:45,FALSE,Static,columns,DATASET,,variable metadata,"Okay, confidence in government is the last column.","df_columns1_7ACC0B75happiness,",df_columns1_7ACC0B75happiness,,,,,,,,,df.columns,,df_columns1_7ACC0B75happiness,columns,  df.columns 
353,7ACC0B75,Happiness,16:02,FALSE,Static,dataframe,DATASET,,variable metadata,So the first you can learn from the data centers mostly has numerical values. There's not much categories except for the country name.,"df_head_7ACC0B75happiness,",df_head_7ACC0B75happiness,,,,,,,,,df.head(),,df_head_7ACC0B75happiness,dataframe,  df.head() 
354,7ACC0B75,Happiness,16:28,FALSE,Static,profile,VARIABLE,distribution (categorical),"distribution range [min, max]","country, 166. Okay,","profile_all_columns7_7ACC0B75happiness,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,,profile_all_columns7_7ACC0B75happiness,visualization," alx.profile(df,vars=columns)  "
355,7ACC0B75,Happiness,16:42,FALSE,Static,profile,VARIABLE,distribution (categorical),"distribution range [min, max]","I'm not sure if 2,004 is the left most value. Well, it should be okay. 2,004 to 2022.","profile_all_columns7_7ACC0B75happiness,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,,profile_all_columns7_7ACC0B75happiness,visualization," alx.profile(df,vars=columns)  "
356,7ACC0B75,Happiness,16:54,FALSE,Static,Multi-view Chart,VARIABLE,distribution (categorical),"distribution range [min, max]","life ladder. still don't know what this means. I mean, let's look at this okay, 0 to 10.","profile_all_columns7_7ACC0B75happiness, data_dictionary,",,,,range instead of metadata as real data has been visualized,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,data_dictionary,"profile_all_columns7_7ACC0B75happiness, data_dictionary","visualization, data_dictionary"," alx.profile(df,vars=columns)  data_dictionary"
357,7ACC0B75,Happiness,17:39,FALSE,Static,profile,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]","understandably but expectedly, It follows a normal distribution.","profile_all_columns7_7ACC0B75happiness,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,,profile_all_columns7_7ACC0B75happiness,visualization," alx.profile(df,vars=columns)  "
358,7ACC0B75,Happiness,18:00,FALSE,Static,profile,VARIABLE,,"distribution shape [shape, skew, kurtosis]",confidence is again normally distributed. ,"profile_all_columns7_7ACC0B75happiness,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,,profile_all_columns7_7ACC0B75happiness,visualization," alx.profile(df,vars=columns)  "
359,7ACC0B75,Happiness,18:09,FALSE,Static,Multi-view Chart,DATASET,,variable metadata,"perception of corruption, is one good? ","profile_all_columns7_7ACC0B75happiness, data_dictionary,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,data_dictionary,"profile_all_columns7_7ACC0B75happiness, data_dictionary","visualization, data_dictionary"," alx.profile(df,vars=columns)  data_dictionary"
360,7ACC0B75,Happiness,20:44,FALSE,Static,profile,ANALYSIS PROCESS,,representation comment,I'm not sure if this visualization is showing me the blank values that are in there.,"profile_all_columns7_7ACC0B75happiness,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,,profile_all_columns7_7ACC0B75happiness,visualization," alx.profile(df,vars=columns)  "
361,7ACC0B75,Happiness,21:00,FALSE,Static,none,DATASET,,data size,how many rows are there? 2089,,,,Prompted generation of len_df2_7ACC0B75happiness,,,,,,,,,,,   
362,7ACC0B75,Happiness,21:25,FALSE,Static,dataframe,DATASET,,missing data,"and I think there are many countries. Okay, not all countries have the same number of rows which is super interesting. Looks like 16 is the maximum, because","group_by_country1_7ACC0B75happiness,",group_by_country1_7ACC0B75happiness,,,,,,,,,"df.groupby(""Country name"").count()",,group_by_country1_7ACC0B75happiness,dataframe,"  df.groupby(""Country name"").count() "
363,7ACC0B75,Happiness,25:55:00,FALSE,Static,Multi-view Chart,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","not suree if the dataset has incorrect values. I would go through the data dictionary verify if all values are correct (i.e., not out of bounds). [WRITTEN]","profile_all_columns7_7ACC0B75happiness, data_dictionary,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,data_dictionary,"profile_all_columns7_7ACC0B75happiness, data_dictionary","visualization, data_dictionary"," alx.profile(df,vars=columns)  data_dictionary"
364,7ACC0B75,Happiness,26:03:00,FALSE,Static,profile,VARIABLE,distribution  (continuous),distribution outlier (variable),"like this bar at the end in log Gdp per capita. Now, that would mean either that it's an outlier. Why is there a sudden drop after 10 to 11?","profile_all_columns7_7ACC0B75happiness,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,,profile_all_columns7_7ACC0B75happiness,visualization," alx.profile(df,vars=columns)  "
365,7ACC0B75,Happiness,26:54:00,FALSE,Static,profile,VARIABLE,distribution  (continuous),distribution outlier (variable),Same goes for freedom to make life changes. [Why is there a sudden drop near 1?],"profile_all_columns7_7ACC0B75happiness,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,,profile_all_columns7_7ACC0B75happiness,visualization," alx.profile(df,vars=columns)  "
366,7ACC0B75,Happiness,27:07:00,FALSE,Static,profile,VARIABLE,distribution  (continuous),distribution outlier (variable),generosity is kind of opposite. [Why is there a sudden drop near 0?],"profile_all_columns7_7ACC0B75happiness,",,,,,,,profile_all_columns7_7ACC0B75happiness,,"alx.profile(df,vars=columns)",,,profile_all_columns7_7ACC0B75happiness,visualization," alx.profile(df,vars=columns)  "
367,7ACC0B75,Happiness,33:10:00,FALSE,Static,dataframe,ANALYSIS PROCESS,,representation comment,"So I have a hypothesis I want to check. If the data set has nulls.Now based on this snapshot. I don't think it does, but that is like very stupid, because these 3 dots could mean anything.","check_na3_7ACC0B75happiness,",check_na3_7ACC0B75happiness,,Incorrect inference (basing data judgement off of a 10 sample of entire dataframe),,,,,,,df.isna(),,check_na3_7ACC0B75happiness,dataframe,  df.isna() 
368,7ACC0B75,Space,48:15:00,FALSE,Interactive,profile,VARIABLE,,"distribution range [min, max]","5,000 unique passengers.","profile_all_columns8_7ACC0B75space,",,didn't use,,,profile_all_columns8_7ACC0B75space,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,profile_all_columns8_7ACC0B75space,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
369,7ACC0B75,Space,48:20:00,FALSE,Interactive,profile,VARIABLE,distribution (categorical),"distribution range [min, max]","Earth, Europa, Mars. I like this, a separate bar for nulls.","profile_all_columns8_7ACC0B75space,",,didn't use,,,profile_all_columns8_7ACC0B75space,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,profile_all_columns8_7ACC0B75space,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
370,7ACC0B75,Space,48:32:00,TRUE,Interactive,profile,VARIABLE,distribution  (continuous),distribution outlier (variable),"Is there an outlier at 30,000? [referencing food court histogram]","profile_all_columns8_7ACC0B75space,",,,,,profile_all_columns8_7ACC0B75space,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,profile_all_columns8_7ACC0B75space,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
371,7ACC0B75,Space,49:32:00,FALSE,Interactive,dataframe,VARIABLE,distribution  (continuous),distribution outlier (variable),"Okay, so that is this person. [referring to the maximum value of Food Court] ","FoodCourt_max1_7ACC0B75space, filter_FoodCourt_max1_7ACC0B75space,","FoodCourt_max1_7ACC0B75space, filter_FoodCourt_max1_7ACC0B75space",,,,,,,,,"df[""FoodCourt""].max() df[df[""FoodCourt""]==29813.0]",,"FoodCourt_max1_7ACC0B75space, filter_FoodCourt_max1_7ACC0B75space","other, dataframe","df[""FoodCourt""].max() df[df[""FoodCourt""]==29813.0]"
372,7ACC0B75,Space,50:13:00,TRUE,Interactive,profile,DATASET,,missing data,I was trying to see if nulls are there only for specific categories. Like a null for home planet? Do they span for all true or false? ,"profile_all_columns8_7ACC0B75space,",,,,,profile_all_columns8_7ACC0B75space,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,profile_all_columns8_7ACC0B75space,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
373,7ACC0B75,Space,50:40:00,TRUE,Interactive,profile,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]",So more false than true [for Cryosleep] for Earth. ,"profile_all_columns8_7ACC0B75space,",,,,,profile_all_columns8_7ACC0B75space,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,profile_all_columns8_7ACC0B75space,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
374,7ACC0B75,Space,51:30:00,TRUE,Interactive,profile,VARIABLE,distribution (categorical),"distribution shape [shape, skew, kurtosis]",Earth was the highest homeplanet [Written],"profile_all_columns8_7ACC0B75space,",,,,,profile_all_columns8_7ACC0B75space,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,profile_all_columns8_7ACC0B75space,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
375,7ACC0B75,Space,52:06:00,TRUE,Interactive,profile,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","So it's not many normally distributed data, except for age, which I expect because young and old– everybody likes to travel.","profile_all_columns8_7ACC0B75space,",,,,,profile_all_columns8_7ACC0B75space,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,profile_all_columns8_7ACC0B75space,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
376,7ACC0B75,Space,54:43:00,TRUE,Interactive,scatterplot,RELATIONSHIP,"relationship (multivariate)
",relationship range constriction,There are no cryosleep null and home plan nulls when age is 0.,"age_CryoSleep_ShoppingMall_vs_HomePlanet_composed1_7ACC0B75space,",,,,,age_CryoSleep_ShoppingMall_vs_HomePlanet_composed1_7ACC0B75space,,,"alx.filter_slider(field='Age') + (alx.scatterplot(df,x='HomePlanet',y='CryoSleep') | alx.scatterplot(df,x='HomePlanet',y='ShoppingMall'))",,,,age_CryoSleep_ShoppingMall_vs_HomePlanet_composed1_7ACC0B75space,visualization,"alx.filter_slider(field='Age') + (alx.scatterplot(df,x='HomePlanet',y='CryoSleep') | alx.scatterplot(df,x='HomePlanet',y='ShoppingMall'))   "
377,92ghd48xe,Happiness,15:01,FALSE,Static,dataframe,DATASET,,data provenance,"Happiness, social support, freedom, generosity, corruption. I'm curious to see how they measure some of these.","df_92ghd48xehappiness,",df_92ghd48xehappiness,,,,,,,,,df,,df_92ghd48xehappiness,dataframe,  df 
378,92ghd48xe,Happiness,16:34,FALSE,Static,data_dictionary,RELATIONSHIP,,relationship existence / non-existence,I'm curious to see year over year what happens. ,"data_dictionary, ",,,,Tagged as relationship as it's likely that this was said in conjuction with a change in other variables over time.,,,,,,,data_dictionary,data_dictionary,data_dictionary,   data_dictionary
379,92ghd48xe,Happiness,16:44,FALSE,Static,info,ANALYSIS PROCESS,,plan of action,"well, my first thought is to divide it into contents, that might be a little bit more involved, because I have to get like a mapping of the continent for country, and we don't have time for that right now.","df_info_1_92ghd48xehappiness,",df_info_1_92ghd48xehappiness,,,,,,,,,df.info(),,df_info_1_92ghd48xehappiness,info,  df.info() 
