SID,Final_Group,Utterance Type,Utterance,Data Type,interaction_used,Highlevel,PID,Notebook,Condition,All representations,Timestamp,adj_timestamp,Dylan Flag Storytelling,Dylan Flag Correction,Dylan Flag Simultaneous Characterization,Vis_Was_Interactive,Timestamp,PNUM
332,lineplot,representation comment,We'll start with it. It's going to be a bad idea. Okay. I think country is the only idnetifier. There's no cluster here. Great good spaghetti plot told me nothing.,,FALSE,ANALYSIS PROCESS,3r2sh20ei,Happiness,Static,"lineplot_year_averageHappinessScore_3r2sh20eihappiness, ",30:12:00,0:30:12,,,,FALSE,30:12:00,P9
333,lineplot,outlier (relationship),Although there is this blue one down here.,relationship (categorical X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"lineplot_year_averageHappinessScore_3r2sh20eihappiness, ",30:32:00,0:30:32,,,,FALSE,30:32:00,P9
334,lineplot,outlier (relationship),Who knows which blue one that is because of my terrible decision.,relationship (categorical X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"lineplot_year_averageHappinessScore_3r2sh20eihappiness, ",30:35:00,0:30:35,,,,FALSE,30:35:00,P9
335,pairplot,plan of action,"Now, I'm just looking at overall patterns and things that look weird. ",,FALSE,ANALYSIS PROCESS,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",31:14:00,0:31:14,,,,FALSE,31:14:00,P9
336,pairplot,relationship strength and/or direction,So this jumps out to me– the relationship between GDP per capita and corruption.,relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",31:18:00,0:31:18,,,,FALSE,31:18:00,P9
337,pairplot,relationship form (linearity/non-linearity),I don't know why there's that weird shape in the data. But it seems that corruption is causing problems. Kind of across the board we see weird stuff. ,relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",31:25:00,0:31:25,,,TRUE,FALSE,31:25:00,P9
338,none,plan of action,"So I'm going to like, look back up to corruption up here.",,FALSE,ANALYSIS PROCESS,3r2sh20ei,Happiness,Static,,31:33:00,0:31:33,,,,FALSE,31:33:00,P9
339,Multi-view Chart,"distribution shape [shape, skew, kurtosis]",It seems like there's some bimodal relationship. ,distribution  (continuous),FALSE,VARIABLE,3r2sh20ei,Happiness,Static,"profile_dataframe_3r2sh20eihappiness, pairplot_dataframe_3r2sh20eihappiness, ",31:40:00,0:31:40,,,,FALSE,31:40:00,P9
340,pairplot,outlier (relationship),There's a lot of outliers overall.,relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, , ",31:46:00,0:31:46,,,TRUE,FALSE,31:46:00,P9
341,pairplot,relationship form (linearity/non-linearity),"I'm just looking at the overall blobs and shapes. We've got outliers, of course, because there's a lot of data here. most things are pretty blobby.",relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",33:25:00,0:33:25,,,TRUE,FALSE,33:25:00,P9
342,pairplot,relationship strength and/or direction," mean, the clear thing that stands out. Is this happiness and GDP per capita.",relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",33:02:00,0:33:02,,,,FALSE,33:02:00,P9
343,pairplot,relationship strength and/or direction,"But we also see happiness having some relationship with the next 2 things. social support, life expectancy.",relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",33:14:00,0:33:14,,,TRUE,FALSE,33:14:00,P9
344,pairplot,relationship strength and/or direction,"I'm going to go focus more on happiness, since I found the ones that are closest to what I want, like, Look at the ones that are further away to make sure it wasn't missing a ton of stuff. So there is some relationship here to positive affect",relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",34:12:00,0:34:12,,,,FALSE,34:12:00,P9
345,pairplot,"distribution shape [shape, skew, kurtosis]","So first at the distribution of corruption on its face. I mean, it's skewed.",distribution  (continuous),FALSE,VARIABLE,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",34:57:00,0:34:57,,,,FALSE,34:57:00,P9
346,pairplot,relationship cluster(s)/subgroup/ unexpected,"If we look at corruption and generosity, this seems there's 2 blobs, some Bimodal of something going on. So like, I'm curious which countries or time have this split between corruption and generosity.",relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",25:03:00,0:25:03,,,,FALSE,25:03:00,P9
347,pairplot,relationship existence / non-existence,  I'm curious if that like seeing law that starts come out in corruption if they overlap. So I'm going to go down this rabbit hole to start looking at that generosity  confidence in government.,relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, ",25:17:00,0:25:17,TRUE,,,FALSE,25:17:00,P9
348,dataframe_pairplot,"distribution shape [shape, skew, kurtosis]",it seems there's some corruption below point 5 and greater than 0 point 5. So I am just curious. 239 rows.,distribution  (continuous),FALSE,VARIABLE,3r2sh20ei,Happiness,Static,"pairplot_dataframe_3r2sh20eihappiness, filter_corruption_3r2sh20eihappiness, ",36:15:00,0:36:15,,,,FALSE,36:15:00,P9
349,python,"distribution shape [shape, skew, kurtosis]","239 rows. We've got some kind of all over the world who have the lower corruption, and the greater corruption",distribution  (continuous),FALSE,VARIABLE,3r2sh20ei,Happiness,Static,"unique_countries_low_corruption_3r2sh20eihappiness, ",36:50:00,0:36:50,,,,FALSE,36:50:00,P9
350,none,relationship cluster(s)/subgroup/ unexpected,"So we see this like purple cluster, I can't guarantee those are the same countries. There's also this other group of blue dots, kind of along the bottom.",relationship (continuous X continuous),FALSE,RELATIONSHIP,3r2sh20ei,Happiness,Static,,44:30:00,0:44:30,,,,FALSE,44:30:00,P9
351,dataframe,variable metadata,"Country, name, Life Ladder. Not sure what that means yet. LogGDP. Social Support. Life expectancy. Freedom. ",,FALSE,DATASET,7ACC0B75,Happiness,Static,"df_head_7ACC0B75happiness, ",14:10,0:14:10,,,TRUE,FALSE,14:10,P2
352,columns,variable metadata,"Okay, confidence in government is the last column.",,FALSE,DATASET,7ACC0B75,Happiness,Static,"df_columns1_7ACC0B75happiness, ",14:45,0:14:45,,,,FALSE,14:45,P2
353,dataframe,variable metadata,So the first you can learn from the data centers mostly has numerical values. There's not much categories except for the country name.,,FALSE,DATASET,7ACC0B75,Happiness,Static,"df_head_7ACC0B75happiness, ",16:02,0:16:02,,,TRUE,FALSE,16:02,P2
354,profile,"distribution range [min, max]","country, 166. Okay,",distribution (categorical),FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, ",16:28,0:16:28,,,,FALSE,16:28,P2
355,profile,"distribution range [min, max]","I'm not sure if 2,004 is the left most value. Well, it should be okay. 2,004 to 2022.",distribution (categorical),FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, ",16:42,0:16:42,,,,FALSE,16:42,P2
356,Multi-view Chart,"distribution range [min, max]","life ladder. still don't know what this means. I mean, let's look at this okay, 0 to 10.",distribution (categorical),FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, data_dictionary, ",16:54,0:16:54,,,,FALSE,16:54,P2
357,profile,"distribution shape [shape, skew, kurtosis]","understandably but expectedly, It follows a normal distribution.",distribution (categorical),FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, ",17:39,0:17:39,,,,FALSE,17:39,P2
358,profile,"distribution shape [shape, skew, kurtosis]",confidence is again normally distributed. ,,FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, ",18:00,0:18:00,,,,FALSE,18:00,P2
359,Multi-view Chart,variable metadata,"perception of corruption, is one good? ",,FALSE,DATASET,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, data_dictionary, ",18:09,0:18:09,,,,FALSE,18:09,P2
360,profile,representation comment,I'm not sure if this visualization is showing me the blank values that are in there.,,FALSE,ANALYSIS PROCESS,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, ",20:44,0:20:44,,,,FALSE,20:44,P2
361,none,data size,how many rows are there? 2089,,FALSE,DATASET,7ACC0B75,Happiness,Static,,21:00,0:21:00,,,,FALSE,21:00,P2
362,dataframe,missing data,"and I think there are many countries. Okay, not all countries have the same number of rows which is super interesting. Looks like 16 is the maximum, because",,FALSE,DATASET,7ACC0B75,Happiness,Static,"group_by_country1_7ACC0B75happiness, ",21:25,0:21:25,,,,FALSE,21:25,P2
363,Multi-view Chart,"distribution shape [shape, skew, kurtosis]","not suree if the dataset has incorrect values. I would go through the data dictionary verify if all values are correct (i.e., not out of bounds). [WRITTEN]",distribution  (continuous),FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, data_dictionary, ",25:55:00,0:25:55,,,TRUE,FALSE,25:55:00,P2
364,profile,distribution outlier (variable),"like this bar at the end in log Gdp per capita. Now, that would mean either that it's an outlier. Why is there a sudden drop after 10 to 11?",distribution  (continuous),FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, ",26:03:00,0:26:03,,,,FALSE,26:03:00,P2
365,profile,distribution outlier (variable),Same goes for freedom to make life changes. [Why is there a sudden drop near 1?],distribution  (continuous),FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, ",26:54:00,0:26:54,,,,FALSE,26:54:00,P2
366,profile,distribution outlier (variable),generosity is kind of opposite. [Why is there a sudden drop near 0?],distribution  (continuous),FALSE,VARIABLE,7ACC0B75,Happiness,Static,"profile_all_columns7_7ACC0B75happiness, ",27:07:00,0:27:07,,,,FALSE,27:07:00,P2
367,dataframe,representation comment,"So I have a hypothesis I want to check. If the data set has nulls.Now based on this snapshot. I don't think it does, but that is like very stupid, because these 3 dots could mean anything.",,FALSE,ANALYSIS PROCESS,7ACC0B75,Happiness,Static,"check_na3_7ACC0B75happiness, ",33:10:00,0:33:10,,,,FALSE,33:10:00,P2
368,profile,"distribution range [min, max]","5,000 unique passengers.",,FALSE,VARIABLE,7ACC0B75,Space,Interactive,"profile_all_columns8_7ACC0B75space, ",48:15:00,0:48:15,,,,TRUE,48:15:00,P2
369,profile,"distribution range [min, max]","Earth, Europa, Mars. I like this, a separate bar for nulls.",distribution (categorical),FALSE,VARIABLE,7ACC0B75,Space,Interactive,"profile_all_columns8_7ACC0B75space, ",48:20:00,0:48:20,,,,TRUE,48:20:00,P2
370,profile,distribution outlier (variable),"Is there an outlier at 30,000? [referencing food court histogram]",distribution  (continuous),TRUE,VARIABLE,7ACC0B75,Space,Interactive,"profile_all_columns8_7ACC0B75space, ",48:32:00,0:48:32,,,,TRUE,48:32:00,P2
371,dataframe,distribution outlier (variable),"Okay, so that is this person. [referring to the maximum value of Food Court] ",distribution  (continuous),FALSE,VARIABLE,7ACC0B75,Space,Interactive,"FoodCourt_max1_7ACC0B75space, filter_FoodCourt_max1_7ACC0B75space, ",49:32:00,0:49:32,,,,FALSE,49:32:00,P2
372,profile,missing data,I was trying to see if nulls are there only for specific categories. Like a null for home planet? Do they span for all true or false? ,,TRUE,DATASET,7ACC0B75,Space,Interactive,"profile_all_columns8_7ACC0B75space, ",50:13:00,0:50:13,,,,TRUE,50:13:00,P2
373,profile,"distribution shape [shape, skew, kurtosis]",So more false than true [for Cryosleep] for Earth. ,distribution (categorical),TRUE,VARIABLE,7ACC0B75,Space,Interactive,"profile_all_columns8_7ACC0B75space, ",50:40:00,0:50:40,,,,TRUE,50:40:00,P2
374,profile,"distribution shape [shape, skew, kurtosis]",Earth was the highest homeplanet [Written],distribution (categorical),TRUE,VARIABLE,7ACC0B75,Space,Interactive,"profile_all_columns8_7ACC0B75space, ",51:30:00,0:51:30,,,,TRUE,51:30:00,P2
375,profile,"distribution shape [shape, skew, kurtosis]","So it's not many normally distributed data, except for age, which I expect because young and old– everybody likes to travel.",distribution  (continuous),TRUE,VARIABLE,7ACC0B75,Space,Interactive,"profile_all_columns8_7ACC0B75space, ",52:06:00,0:52:06,,,,TRUE,52:06:00,P2
376,scatterplot,relationship range constriction,There are no cryosleep null and home plan nulls when age is 0.,"relationship (multivariate)
",TRUE,RELATIONSHIP,7ACC0B75,Space,Interactive,"age_CryoSleep_ShoppingMall_vs_HomePlanet_composed1_7ACC0B75space, ",54:43:00,0:54:43,,,,TRUE,54:43:00,P2
377,dataframe,data provenance,"Happiness, social support, freedom, generosity, corruption. I'm curious to see how they measure some of these.",,FALSE,DATASET,92ghd48xe,Happiness,Static,"df_92ghd48xehappiness, ",15:01,0:15:01,,,TRUE,FALSE,15:01,P4
378,data_dictionary,relationship existence / non-existence,I'm curious to see year over year what happens. ,,FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"data_dictionary, ",16:34,0:16:34,,,,FALSE,16:34,P4
379,info,plan of action,"well, my first thought is to divide it into contents, that might be a little bit more involved, because I have to get like a mapping of the continent for country, and we don't have time for that right now.",,FALSE,ANALYSIS PROCESS,92ghd48xe,Happiness,Static,"df_info_1_92ghd48xehappiness, ",16:44,0:16:44,,,,FALSE,16:44,P4
380,lineplot,relationship strength and/or direction,"Oh, that's very interesting. It plummeted and then went back up. ",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"alx_lineplot_year_average_happinessscore_92ghd48xehappiness, ",19:52,0:19:52,,,,FALSE,19:52,P4
381,lineplot,relationship strength and/or direction,Happiness has changed over time,relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"alx_lineplot_year_average_happinessscore_92ghd48xehappiness, ",20:48,0:20:48,,,,FALSE,20:48,P4
382,data_dictionary_describe,"distribution range [min, max]",for the daily quality i'm looking for any impossible values,distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, data_dictionary, ",21:06,0:21:06,,,TRUE,FALSE,21:06,P4
383,data_dictionary_describe,"distribution range [min, max]",I don't know what these happiness score– 0 to 10.,distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, data_dictionary, ",21:10,0:21:10,,,,FALSE,21:10,P4
384,data_dictionary_describe,"distribution range [min, max]","So there's log GDP Per capital, that could be anything. ",distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, data_dictionary, ",21:18,0:21:18,,,,FALSE,21:18,P4
385,data_dictionary_describe,"distribution range [min, max]","like if I see all 200 as a maximum life expectancy, i'll be very suspicious",distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, data_dictionary, ",21:46,0:21:46,,,,FALSE,21:46,P4
386,data_dictionary_describe,"distribution range [min, max]","freedom. Okay, they don't give me a but I'm assuming 0 to one",distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, data_dictionary, ",21:56,0:21:56,,,,FALSE,21:56,P4
387,data_dictionary_describe,"distribution range [min, max]",generosity might be negative one to one,distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, data_dictionary, ",22:03,0:22:03,,,,FALSE,22:03,P4
388,data_dictionary_describe,"distribution range [min, max]",corruption. It seems like a 0 to one again,distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, data_dictionary, ",22:15,0:22:15,,,,FALSE,22:15,P4
389,describe,plan of action,"So it's hard for me to ascertain the full data quality, because  I don't have reference points for all of them.",,FALSE,ANALYSIS PROCESS,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, ",22:21,0:22:21,,,,FALSE,22:21,P4
390,describe,"distribution range [min, max]","based on what I see, none of them are, you know, I could already tell, based on the percentiles that a lot of them are don't have crazy distributions.",distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, ",22:27,0:22:27,,,TRUE,FALSE,22:27,P4
391,describe,"distribution range [min, max]","Except for maybe [hovering over negative affect describe column] well, let me take a look at that.",distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_describe_2_92ghd48xehappiness, ",22:38,0:22:38,,TRUE,,FALSE,22:38,P4
392,profile,"distribution range [min, max]",Well I don't see any crazy outliers [ scrolls through data profile],distribution  (continuous),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"alx_profile_df_columns_92ghd48xehappiness, ",22:50,0:22:50,,,TRUE,FALSE,22:50,P4
393,info,relationship strength and/or direction,"I could do happiness score and corruption, the perception of corruption. I'll expect that to be have a negative correlation",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"df_info_2_92ghd48xehappiness, ",24:30:00,0:24:30,,,,FALSE,24:30:00,P4
394,info,variable metadata,"I believe that the corruption decided by the... Yeah, it's like a survey, so it's not. It's not a you know a it's not a hard metric of corruption. Some like measuring the number of corruption cases or something– its people's perception",,FALSE,DATASET,92ghd48xe,Happiness,Static,"df_info_2_92ghd48xehappiness, ",24:50:00,0:24:50,TRUE,,,FALSE,24:50:00,P4
395,scatterplot,representation comment,It's a very busy scatter plot here.,,FALSE,ANALYSIS PROCESS,92ghd48xe,Happiness,Static,"alx_jointplot_happinessscore_corruption_1_92ghd48xehappiness, ",25:46:00,0:25:46,,,,FALSE,25:46:00,P4
396,scatterplot,representation comment,Let's do corruption as the explanatory variable and happiness score as the other one. ,,FALSE,ANALYSIS PROCESS,92ghd48xe,Happiness,Static,"alx_jointplot_happinessscore_corruption_1_92ghd48xehappiness, ",25:51:00,0:25:51,,,,FALSE,25:51:00,P4
397,scatterplot,relationship strength and/or direction,"It's kind of hard to see, but I think there's a negative line there.",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"alx_jointplot_corruption_happinessscore_1_92ghd48xehappiness, ",26:19:00,0:26:19,,,,FALSE,26:19:00,P4
398,scatterplot,representation comment,I don't know how to draw that in your library. I usually draw a line of best fit. ,,FALSE,ANALYSIS PROCESS,92ghd48xe,Happiness,Static,"alx_jointplot_corruption_happinessscore_1_92ghd48xehappiness, ",26:27:00,0:26:27,,,,FALSE,26:27:00,P4
399,scatterplot,relationship strength and/or direction,"just like glancing it, it looks like what my my original, hypothesis is correct. As happiness goes down, the the perception of corruption goes up.",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"alx_jointplot_corruption_happinessscore_1_92ghd48xehappiness, ",26:48:00,0:26:48,,,,FALSE,26:48:00,P4
400,scatterplot,relationship form (linearity/non-linearity),"look at that, it's very linear.",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"alx_jointplot_logGDPPerCapita_happinessscore_1_92ghd48xehappiness, ",28:04:00,0:28:04,,,,FALSE,28:04:00,P4
401,scatterplot,relationship strength and/or direction,Okay. Money makes people happy.,relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"alx_jointplot_logGDPPerCapita_happinessscore_1_92ghd48xehappiness, ",28:10:00,0:28:10,,,,FALSE,28:10:00,P4
402,scatterplot,relationship strength and/or direction,"Well, I'm kidding, I can't conclude that.",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"alx_jointplot_logGDPPerCapita_happinessscore_1_92ghd48xehappiness, ",28:12:00,0:28:12,,TRUE,,FALSE,28:12:00,P4
403,scatterplot,relationship strength and/or direction,"GDP and Happiness have a positive correlation, If they have cause-effect relationship, it's probably likely that people in rich countries have less stress therefore ""happier"" [written]",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"alx_jointplot_logGDPPerCapita_happinessscore_1_92ghd48xehappiness, ",28:58:00,0:28:58,TRUE,,,FALSE,28:58:00,P4
404,python,relationship strength and/or direction,"Well, so we have strong positive– Oh, that's interesting– social support.",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"df_corr_happinessscore_92ghd48xehappiness, ",34:17:00,0:34:17,,,,FALSE,34:17:00,P4
405,python,relationship strength and/or direction,I'm assuming this is social programs.,relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"df_corr_happinessscore_92ghd48xehappiness, ",34:23:00,0:34:23,TRUE,,,FALSE,34:23:00,P4
406,python,relationship strength and/or direction,"high happiness and the life expectancy, high life, expectancy.",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"df_corr_happinessscore_92ghd48xehappiness, ",34:27:00,0:34:27,,,,FALSE,34:27:00,P4
407,python,relationship strength and/or direction,Freedom is not as correlated as I thought with happiness score.,relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"df_corr_happinessscore_92ghd48xehappiness, ",34:36:00,0:34:36,,,,FALSE,34:36:00,P4
408,python,data provenance,"I'm suspicious if those people taking the survey in countries with low freedom had the ""freedom"" to speak honestly. [written]",,FALSE,DATASET,92ghd48xe,Happiness,Static,"df_corr_happinessscore_92ghd48xehappiness, ",35:30:00,0:35:30,TRUE,,,FALSE,35:30:00,P4
409,python,relationship strength and/or direction,Generous countries don't seem to be happier.[written] That's an interesting one.,relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Happiness,Static,"df_corr_happinessscore_92ghd48xehappiness, ",36:15:00,0:36:15,,,,FALSE,36:15:00,P4
410,python,"distribution shape [shape, skew, kurtosis]","let me just be real careful here with this one calculation. you know since sometimes, If a country has like a lowercase and an upper case, it counts them twice.",distribution (categorical),FALSE,VARIABLE,92ghd48xe,Happiness,Static,"df_country_unique_2_92ghd48xehappiness, ",37:10:00,0:37:10,,,,FALSE,37:10:00,P4
411,dataframe,relationship strength and/or direction,Cabin – Probably related to money.,relationship (categorical X continuous),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"df_92ghd48xespace, ",1:00:42,1:00:42,,,,FALSE,1:00:42,P4
412,dataframe,variable metadata,Survived– uh oh! People died in this thing?,,FALSE,DATASET,92ghd48xe,Space,Interactive,"df_92ghd48xespace, ",1:01:06,1:01:06,,,,FALSE,1:01:06,P4
413,data_dictionary,variable metadata,"Oh, I see money is all over this [hovering over the money variables]",,FALSE,DATASET,92ghd48xe,Space,Interactive,"data_dictionary, ",1:01:49,1:01:49,,,,FALSE,1:01:49,P4
414,dataframe,relationship strength and/or direction,Maybe they are space racists. We'll see if the home planet had any effect on survival.,relationship (categorical X categorical),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"df_92ghd48xespace, ",1:02:16,1:02:16,TRUE,,,FALSE,1:02:16,P4
415,python,representation comment,Well that doesn't tell me anything without a total count,,FALSE,ANALYSIS PROCESS,92ghd48xe,Space,Interactive,"homeplanet_group_count_survived_92ghd48xespace, ",1:03:12,1:03:12,,,,FALSE,1:03:12,P4
416,python,relationship strength and/or direction,Earth had a higher survival rate. so. Maybe the Earthlings we're giving preference.,relationship (categorical X categorical),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"filter_homeplanet_survived_false_homeplanet_value_counts_92ghd48xespace, filter_homeplanet_survived_true_homeplanet_value_counts_92ghd48xespace, ",1:06:25,1:06:25,,,,FALSE,1:06:25,P4
417,python,relationship strength and/or direction,"Yeah. i'm looking at who survived, and who didn't survive, and how much he spent in different places. So, just off the top of my head, I see that the survivors spent more on on room service, which is a sign of status to some degree.",relationship (categorical X continuous),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"survived_describe_92ghd48xespace, no_survive_describe_92ghd48xespace, ",1:08:19,1:08:19,,,,FALSE,1:08:19,P4
418,python,relationship strength and/or direction,"Food court spend was higher for the no survive. which probably tells me that there were maybe restaurants here, and the people with less money, went to the food court instead. ",relationship (categorical X continuous),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"survived_describe_92ghd48xespace, no_survive_describe_92ghd48xespace, ",1:08:35,1:08:35,TRUE,,,FALSE,1:08:35,P4
419,python,relationship strength and/or direction,shopping mall – about even there,relationship (categorical X continuous),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"survived_describe_92ghd48xespace, no_survive_describe_92ghd48xespace, ",1:08:52,1:08:52,,,,FALSE,1:08:52,P4
420,barplot,representation comment,I messed it up. maybe I want the whole dataset. ,,FALSE,ANALYSIS PROCESS,92ghd48xe,Space,Interactive,"alx_countplot_survived_92ghd48xespace, ",1:11:03,1:11:03,,TRUE,,FALSE,1:11:03,P4
421,data_dictionary,variable metadata,What is spa? Spa is .... Ah it's another money,,FALSE,DATASET,92ghd48xe,Space,Interactive,"survived_describe_92ghd48xespace, no_survive_describe_92ghd48xespace, data_dictionary, ",1:11:20,1:11:20,,,,FALSE,1:11:20,P4
422,python,plan of action,What do I want?,,FALSE,ANALYSIS PROCESS,92ghd48xe,Space,Interactive,"survived_describe_92ghd48xespace, no_survive_describe_92ghd48xespace, ",1:11:44,1:11:44,,,,FALSE,1:11:44,P4
423,barplot,representation comment,Oh that's very helpful,,FALSE,ANALYSIS PROCESS,92ghd48xe,Space,Interactive,"alx_barplot_df_survived_average_roomservice_2_92ghd48xespace, ",1:18:10,1:18:10,,,,FALSE,1:18:10,P4
424,barplot,relationship strength and/or direction,Oh europa! [commenting on the fact that food court average is highest for europa],relationship (categorical X categorical),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"alx_barplot_df_homeplanet_average_foodcourt_92ghd48xespace, ",1:19:03,1:19:03,,,,FALSE,1:19:03,P4
425,barplot,relationship strength and/or direction,Earth doesn't like to spend full for some reason.,relationship (categorical X categorical),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"alx_barplot_df_homeplanet_average_foodcourt_92ghd48xespace, ",1:19:07,1:19:07,,,,FALSE,1:19:07,P4
426,none,relationship strength and/or direction,"I'm using room services, a proxy for having money.",relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,,1:19:25,1:19:25,,,,FALSE,1:19:25,P4
427,barplot,relationship strength and/or direction," Okay, Mars likes room service.",relationship (categorical X continuous),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"alx_barplot_df_homeplanet_average_roomservice_92ghd48xespace, ",1:19:33,1:19:33,,,,FALSE,1:19:33,P4
428,python,relationship strength and/or direction,So room service is giving me mixed signals here. I'm Kind of confused by it because I thought it would be like a proxy for wealth in here. But it doesn't seem.,relationship (continuous X continuous),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"survived_describe_roomservice_foodcourt_shoppingmall_92ghd48xespace, no_survive_describe_92ghd48xespace, ",1:20:30,1:20:30,,,,FALSE,1:20:30,P4
429,python,relationship strength and/or direction,"Europa seems to be the rich ones, but they didn't survive more than Earth did","relationship (multivariate)
",FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"sum_groupby_homeplanet_92ghd48xespace, ",1:23:14,1:23:14,,,,FALSE,1:23:14,P4
430,python,relationship strength and/or direction,So I think my initial assumption of wealth being an indicator of survivor is a little shaky.,relationship (categorical X continuous),FALSE,RELATIONSHIP,92ghd48xe,Space,Interactive,"sum_groupby_homeplanet_92ghd48xespace, survived_describe_92ghd48xespace, no_survive_describe_92ghd48xespace, ",1:23:29,1:23:29,,,,FALSE,1:23:29,P4
